District,State,Students,Charter_Percent,ELL_Percent,IEP_Percent,Low_Income_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
ALISAL UNION,California,9235,0.08,0.72,0.09,0.82631294,26.01,0.99,0
MERCER COUNTY SCHOOLS,West Virginia,9216,0,0.01,0.16,0.45562066,14.37,0.955,1
DOTHAN CITY,Alabama,9213,0,0.02,0.08,0.670899815,19.48,1.018,0
SCOTT COUNTY,Kentucky,9206,0,0.03,0.16,0.411796654,17.46,0.951,1
JEFFERSON COUNTY SCHOOLS,West Virginia,9202,0,0.05,0.14,0.377961313,15.13,0.997,1
CAMDEN COUNTY,Georgia,9199,0,0.01,0.13,0.46929014,16.41,1.007,0
TWIN FALLS DISTRICT,Idaho,9191,0,0.07,0.1,0.519094767,18.56,0.91,0
PITTSYLVANIA CO PBLC SCHS,Virginia,9182,0,0.02,0.13,0.540622958,14.88,1.045,0
WALTON,Florida,9172,0.1,0.04,0.1,0.526929786,15.53,0.983,0
WEST ALLIS-WEST MILWAUKEE SCHOOL DISTRICT,Wisconsin,9172,0.05,0.03,0.14,0.552987353,14.82,1.031,0
LONGWOOD CENTRAL SCHOOL DISTRICT,New York,9164,0,0.05,0.2,0.488651244,14.25,1.02,0
MORGAN HILL UNIFIED,California,9137,0.07,0.15,0.13,0.365218343,23.13,1.05,0
HURON VALLEY SCHOOLS,Michigan,9130,0,0.02,0.12,0.21456736,18.54,0.954,0
ST CLAIR COUNTY,Alabama,9124,0,0.01,0.09,0.491231916,18.45,1.012,0
DECATUR SD 61,Illinois,9124,0.04,0.02,0.16,0.531345901,18.5,1.169,0
WARWICK,Rhode Island,9124,0,0.01,0.16,0.365081105,12.77,0.997,0
EAST ALLEN COUNTY SCHOOLS,Indiana,9116,0,0.08,0.14,0.513273366,16.85,0.937,0
SAN MATEO UNION HIGH,California,9104,0.13,0.11,0.1,0.180689807,20.43,0.988,0
EPIC ONE ON ONE CHARTER SCHOOL,Oklahoma,9077,1,0.01,0.12,0.545995373,45.47,0.913,1
LEXINGTON 02,South Carolina,9066,0,0.12,0.16,0.749834547,14.89,1.031,0
GREENWOOD 50,South Carolina,9057,0,0.11,0.13,0.841117368,16.11,0.926,0
KENTWOOD PUBLIC SCHOOLS,Michigan,9044,0,0.2,0.14,0.630362671,19.91,0.961,0
CHEROKEE 01,South Carolina,9043,0,0.05,0.12,0.840318478,14.68,0.942,0
PENINSULA SCHOOL DISTRICT,Washington,9035,0,0.01,0.13,0.25478694,19.53,0.938,0
EL MONTE UNION HIGH,California,9033,0,0.2,0.12,0.880881213,21.76,1.004,0
DEKALB COUNTY,Alabama,9023,0.08,0.12,0.08,0.714841436,16.04,0.992,0
SALINAS CITY ELEMENTARY,California,9023,0,0.53,0.11,0.800177325,25.13,1.012,0
WESTERN PLACER UNIFIED,California,9020,0.15,0.07,0.11,0.327605322,20.06,0.988,0
POCONO MOUNTAIN SD,Pennsylvania,9020,0,0.02,0.23,0.510088692,12.09,0.892,0
N. LITTLE ROCK SCHOOL DISTRICT,Arkansas,9015,0,0.06,0.12,0.268552413,15.52,1.544,0
KENAI PENINSULA BOROUGH SCHOOL DISTRICT,Alaska,9013,0.09,0.03,0.18,0.36868967,15.6,0.999,0
EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),New York,9010,0,0.32,0.31,0.67336293,15.21,0.943,0
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Minnesota,9008,0,0.08,0.12,0.20026643,16.17,0.985,0
NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,New York,8989,0,0.01,0.16,0.344865947,14.12,0.942,0
REDWOOD CITY ELEMENTARY,California,8987,0.16,0.33,0.14,0.572604874,23.1,0.76,0
PAWTUCKET,Rhode Island,8984,0,0.11,0.17,0.687555654,14.09,0.983,0
JEFFERSON CITY,Missouri,8968,0,0.02,0.12,0.573483497,13.98,0.975,0
GREENWICH SCHOOL DISTRICT,Connecticut,8955,0,0.05,0.11,0.147962032,11.88,1.004,0
TEXAS CITY ISD,Texas,8945,0,0.07,0.09,0.718949134,16.09,0.991,0
WALKER COUNTY,Georgia,8943,0,0.01,0.17,0.62980707,12.9,1.019,0
BRYAN COUNTY,Georgia,8941,0,0.01,0.1,0.361816352,16.56,1.12,0
MARIETTA CITY,Georgia,8932,0,0.16,0.1,0.482560368,14.08,1.023,0
BRENTWOOD UNION ELEMENTARY,California,8917,0,0.1,0.14,0.254009196,24.89,0.98,0
BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,8912,0,0.03,0.22,0.312275583,11.69,0.989,0
NORTHWEST LOCAL,Ohio,8904,0,0.04,0.17,0.501909254,19.38,0.916,0
OLD BRIDGE TOWNSHIP SCHOOL DISTRICT,New Jersey,8899,0,0.03,0.18,0.249241488,12.57,0.98,0
PORT ARTHUR ISD,Texas,8898,0,0.24,0.07,0.838615419,16.35,0.914,0
CALHOUN COUNTY,Alabama,8888,0,0.01,0.08,0.987519501,17.16,1.02,0
CHATHAM COUNTY SCHOOLS,North Carolina,8887,0,0.1,0.13,0.509283223,14.75,1.009,0
SHELDON ISD,Texas,8884,0,0.25,0.07,0.788271049,16.07,1.006,0
VERNON PARISH,Louisiana,8882,0,0.01,0.11,0.583314569,12.04,1.025,0
SOUTH SAN FRANCISCO UNIFIED,California,8879,0,0.25,0.13,0.360513571,22.72,1.289,0
MANOR ISD,Texas,8870,0,0.34,0.08,0.765501691,16.02,1.05,0
LENOIR COUNTY PUBLIC SCHOOLS,North Carolina,8862,0,0.04,0.17,0.983638005,15.64,1.046,0
LAKE STEVENS SCHOOL DISTRICT,Washington,8847,0,0.04,0.15,0.277834294,21.29,0.94,0
WILLIAM FLOYD UNION FREE SCHOOL DISTRICT,New York,8837,0,0.06,0.15,0.604051149,14.85,0.938,0
EAST WHITTIER CITY ELEMENTARY,California,8829,0,0.13,0.12,0.505379998,24.64,0.98,0
EASTON AREA SD,Pennsylvania,8827,0,0.04,0.18,0.465843435,16.75,0.89,0
PIKE COUNTY,Kentucky,8826,0,0,0.16,0.737140267,16.81,1.023,1
MAPLETON SCHOOL DISTRICT NO. 1 IN THE COUNTY OF ADAMS & ST,Colorado,8822,0,0.22,0.11,0.578553616,23.65,0.943,1
BARRINGTON CUSD 220,Illinois,8805,0,0.06,0.17,0.19750142,14.9,0.966,0
CHRISTIAN COUNTY,Kentucky,8803,0,0.02,0.14,0.701011019,16.55,1.142,1
VALLIVUE SCHOOL DISTRICT,Idaho,8798,0.07,0.09,0.1,0.615253467,20.12,0.938,0
AZUSA UNIFIED,California,8782,0,0.27,0.14,0.792416306,22.85,1.019,0
CUMBERLAND VALLEY SD,Pennsylvania,8779,0,0.02,0.12,0.191707484,16.69,0.933,0
ETOWAH COUNTY,Alabama,8764,0,0.01,0.07,0.491442264,17.15,1.163,0
EL RANCHO UNIFIED,California,8754,0,0.21,0.12,0.732350925,24.51,0.964,0
DECATUR CITY,Alabama,8746,0,0.1,0.09,0.51589298,15.1,0.989,0
PORT HURON AREA SCHOOL DISTRICT,Michigan,8742,0,0.01,0.13,0.494166095,17.83,1.014,0
SOUTH BRUNSWICK SCHOOL DISTRICT,New Jersey,8733,0,0.02,0.12,0.122981793,14.03,1.017,0
CAMPBELL COUNTY SCHOOL DISTRICT #1,Wyoming,8726,0,0.04,0.13,0.385514554,12.96,0.978,0
BROWNSBURG COMMUNITY SCHOOL CORP,Indiana,8719,0,0.01,0.12,0.231333869,17.03,0.878,0
ST. MARY PARISH,Louisiana,8707,0,0.06,0.14,0.656483289,15.91,1.056,0
LONGVIEW ISD,Texas,8705,0,0.18,0.08,0.707294658,14.98,0.897,0
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,8702,0,0,0.16,0.541944381,14.69,0.996,0
ELKHORN PUBLIC SCHOOLS,Nebraska,8685,0,0.01,0.11,0.075647668,15.71,1.092,0
ANDERSON COMMUNITY SCHOOL CORP,Indiana,8674,0,0.03,0.21,0.64491584,17.9,0.8,0
MOSES LAKE SCHOOL DISTRICT,Washington,8674,0,0.15,0.13,0.644685266,19.45,0.943,0
JONES CO SCHOOL DIST,Mississippi,8672,0,0.07,0.15,0.68876845,16.24,0.957,0
HOKE COUNTY SCHOOLS,North Carolina,8672,0,0.06,0.13,0.731434502,15.25,1.035,0
WEST NEW YORK BOARD OF EDUCATION,New Jersey,8664,0,0.12,0.13,0.763850416,14.49,1.035,0
MANKATO PUBLIC SCHOOL DISTRICT,Minnesota,8661,0,0.05,0.16,0.362429281,16.16,1.081,0
TEMPLE ISD,Texas,8643,0,0.1,0.1,0.729723476,14.5,0.968,0
SAN LEANDRO UNIFIED,California,8638,0,0.29,0.14,0.605579995,23.74,1.258,0
PORTAGE PUBLIC SCHOOLS,Michigan,8635,0,0.04,0.09,0.225593515,18.47,0.928,0
EDINA PUBLIC SCHOOL DISTRICT,Minnesota,8627,0,0.04,0.09,0.085545381,16.65,0.998,0
BRIDGEWATER-RARITAN REGIONAL SCHOOL DISTRICT,New Jersey,8625,0,0.02,0.17,0.101681159,11.19,0.966,0
STILLWATER AREA PUBLIC SCHOOL DIST.,Minnesota,8612,0,0.02,0.15,0.151416628,19.23,0.974,0
NEW BRAUNFELS ISD,Texas,8610,0,0.08,0.08,0.354355401,16.77,0.987,0
JACKSON TOWNSHIP SCHOOL DISTRICT,New Jersey,8608,0,0.02,0.17,0.232342007,12.71,0.967,0
SUMTER,Florida,8604,0.07,0.03,0.14,0.589144584,15.78,1.001,0
DAVIS JOINT UNIFIED,California,8582,0.06,0.11,0.11,0.20426474,22.37,0.999,0
YUMA ELEMENTARY DISTRICT,Arizona,8575,0,0.13,0.12,0.756851312,21.07,1.045,1
HAWTHORNE,California,8573,0.09,0.34,0.11,0.845328356,23.55,1.011,0
MONROE,Florida,8571,0,0.11,0.16,0.822033898,13.39,0.871,0
WHITE BEAR LAKE SCHOOL DISTRICT,Minnesota,8562,0,0.03,0.15,0.275519738,16.74,0.964,0
WASHINGTON COUNTY,Tennessee,8558,0,0,0.14,0.823586118,15.57,1.057,0
SAMPSON COUNTY SCHOOLS,North Carolina,8554,0,0.12,0.11,0.969838672,15.78,1.068,0
ELMHURST SD 205,Illinois,8551,0,0.06,0.14,0.152730675,14.68,0.908,0
AUBURN CITY,Alabama,8543,0,0.02,0.07,0.276483671,17.76,0.937,0
LOS LUNAS PUBLIC SCHOOLS,New Mexico,8541,0,0.1,0.12,0.696171409,18.8,1.022,0
RIVERSIDE COUNTY OFFICE OF EDUCATION,California,8520,0.6,0.05,0.1,0.551760563,21.29,0.985,0
NESHAMINY SD,Pennsylvania,8507,0,0.01,0.22,0.293522981,15.88,0.993,0
WEBSTER CENTRAL SCHOOL DISTRICT,New York,8494,0,0.02,0.1,0.107958559,13,1.015,0
PULASKI COUNTY,Kentucky,8489,0,0.01,0.14,0.915513474,17.85,1.015,1
STANLY COUNTY SCHOOLS,North Carolina,8489,0,0.03,0.18,0.53575215,14.67,1.037,0
YUKON,Oklahoma,8479,0,0.04,0.16,0.439792428,18.27,0.995,1
LYNCHBURG CITY PBLC SCHS,Virginia,8477,0,0.03,0.14,0.687507373,13.94,0.957,0
OCEAN VIEW,California,8467,0,0.26,0.13,0.732677016,24.08,1.026,0
MORONGO UNIFIED,California,8466,0,0.05,0.15,0.659107016,23.66,1.025,0
PRIOR LAKE-SAVAGE AREA SCHOOLS,Minnesota,8461,0,0.03,0.11,0.12705354,18.36,1.082,0
EL MONTE CITY,California,8453,0,0.37,0.13,0.894238732,22.15,1.038,0
CROWN POINT COMMUNITY SCHOOL CORP,Indiana,8447,0,0.02,0.12,0.198176868,19.71,0.876,0
MIDLOTHIAN ISD,Texas,8441,0,0.03,0.1,0.212889468,15.85,1.02,0
FRANKLIN COUNTY SCHOOLS,North Carolina,8436,0,0.04,0.12,0.718942627,16.1,1.051,0
CLOVIS MUNICIPAL SCHOOLS,New Mexico,8417,0,0.09,0.17,0.787810384,17.93,1.022,0
LAUDERDALE COUNTY,Alabama,8409,0,0,0.08,0.462956356,18.22,1.003,0
WAXAHACHIE ISD,Texas,8408,0,0.08,0.12,0.484062797,14.21,1.047,0
WAUSAU SCHOOL DISTRICT,Wisconsin,8405,0.14,0.11,0.14,0.430458061,13.94,0.949,0
CARTERET COUNTY PUBLIC SCHOOLS,North Carolina,8404,0,0.02,0.13,0.436458829,13.95,1.033,0
SYLVAN UNION ELEMENTARY,California,8399,0.07,0.15,0.16,0.496725801,27.08,0.932,0
ARLINGTON CENTRAL SCHOOL DISTRICT,New York,8398,0,0.02,0.18,0.266372946,13.42,0.958,0
HEMPSTEAD UNION FREE SCHOOL DISTRICT,New York,8392,0,0.36,0.14,0.670162059,22.5,1.064,0
LOWER MERION SD,Pennsylvania,8387,0,0.02,0.15,0.093597234,12.14,0.981,0
HUENEME ELEMENTARY,California,8379,0,0.48,0.12,0.865497076,24.3,1.074,0
DULUTH PUBLIC SCHOOL DISTRICT,Minnesota,8365,0,0.01,0.18,0.428930066,15.72,0.946,0
SHAKOPEE PUBLIC SCHOOL DISTRICT,Minnesota,8358,0,0.12,0.17,0.348648002,15.95,1.102,0
TAHOMA SCHOOL DISTRICT,Washington,8357,0,0.02,0.12,0.13019026,23.07,1.109,0
HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,New York,8354,0,0.02,0.2,0.162796265,12.39,0.973,0
CITY OF MONROE SCHOOL DISTRICT,Louisiana,8350,0.05,0,0.16,0.75497006,10.79,1.027,0
RUTHERFORD COUNTY SCHOOLS,North Carolina,8350,0,0.01,0.16,0.977005988,16,1.003,0
LYON COUNTY SCHOOL DISTRICT,Nevada,8348,0,0.05,0.13,0.554384284,17.21,0.968,0
SOUTH LYON COMMUNITY SCHOOLS,Michigan,8340,0,0.03,0.12,0.141486811,18.58,0.879,0
VICKSBURG WARREN SCHOOL DIST,Mississippi,8311,0,0.01,0.12,0.998917098,15.38,1.051,0
NORTH ALLEGHENY SD,Pennsylvania,8300,0,0.01,0.11,0.05373494,15.2,0.988,0
BOERNE ISD,Texas,8300,0,0.04,0.08,0.168072289,15.99,1.467,0
MONTGOMERY ISD,Texas,8296,0,0.02,0.07,0.240597878,15.98,0.97,0
MOUNT VERNON SCHOOL DISTRICT,New York,8290,0,0.08,0.2,0.710012063,12.24,0.96,0
SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,New York,8280,0,0.03,0.13,0.289371981,14.22,1.025,0
JESSAMINE COUNTY,Kentucky,8262,0,0.02,0.14,0.56741709,15.92,1.062,1
CENTER GROVE COMMUNITY SCHOOL CORP,Indiana,8256,0,0.01,0.15,0.191254845,20.69,1.137,0
GRAND BLANC COMMUNITY SCHOOLS,Michigan,8253,0,0.03,0.11,0.280504059,19.94,0.979,0
SUN PRAIRIE AREA SCHOOL DISTRICT,Wisconsin,8234,0,0.07,0.12,0.244595579,13.88,0.934,0
SPARTANBURG 05,South Carolina,8223,0,0.07,0.15,0.511127326,14.51,0.898,0
BELVIDERE CUSD 100,Illinois,8221,0,0.13,0.16,0.456757086,16.57,0.927,0
LUFKIN ISD,Texas,8216,0,0.17,0.1,0.774829601,13.84,0.957,0
CARROLL ISD,Texas,8208,0,0.02,0.07,0.014254386,14.8,0.876,0
CULPEPER CO PBLC SCHS,Virginia,8202,0,0.07,0.1,0.445866862,14.89,0.945,0
LIBERTY UNION HIGH,California,8199,0,0.07,0.14,0.28161971,22.58,1.05,0
BIRMINGHAM PUBLIC SCHOOLS,Michigan,8191,0,0.04,0.12,0.063972653,14.35,0.945,0
FOUNTAIN SCHOOL DISTRICT NO. 8 IN THE COUNTY OF EL PASO AN,Colorado,8185,0,0.04,0.11,0.489676237,16.56,0.982,1
SURRY COUNTY SCHOOLS,North Carolina,8174,0,0.08,0.13,0.63126988,15.31,1.03,0
WEST CLERMONT LOCAL,Ohio,8173,0,0.02,0.14,0.37158938,18.35,0.909,0
ST. MARTIN PARISH,Louisiana,8159,0,0.01,0.11,0.762103199,19.02,1.096,0
CLARKSTOWN CENTRAL SCHOOL DISTRICT,New York,8156,0,0.03,0.18,0.112432565,12.68,0.969,0
DALTON CITY,Georgia,8148,0,0.17,0.09,0.730731468,14.78,0.928,0
VALDOSTA CITY,Georgia,8135,0,0.03,0.12,1,15.76,1.014,0
EANES ISD,Texas,8134,0,0.02,0.08,0.024219326,13.61,0.959,0
CENTERVILLE CITY,Ohio,8123,0,0.02,0.14,0.148344208,16.23,0.908,0
GLENBARD TWP HSD 87,Illinois,8110,0,0.04,0.12,0.331319359,17.25,1.006,0
MARION COUNTY SCHOOLS,West Virginia,8105,0,0,0.14,0.524120913,14.17,1.03,1
COPPERAS COVE ISD,Texas,8099,0,0.03,0.1,0.54278306,15.04,0.861,0
CARSON CITY SCHOOL DISTRICT,Nevada,8093,0.08,0.15,0.14,0.506116397,19.22,1.062,0
WILLOUGHBY-EASTLAKE CITY,Ohio,8090,0,0.01,0.17,0.343634116,17.53,0.976,0
SAN MARCOS CISD,Texas,8090,0,0.09,0.11,0.705067985,14.7,1.187,0
ANDOVER,Kansas,8086,0,0.03,0.08,0.11414791,24.77,0.815,0
WASHINGTON UNIFIED,California,8083,0.2,0.19,0.11,0.627242361,22.4,0.954,0
OREGON CITY SD 62,Oregon,8077,0.29,0.04,0.18,0.320787421,20.83,0.956,0
EAST PENN SD,Pennsylvania,8076,0,0.02,0.18,0.244427935,16.44,0.926,0
WAYNE TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,8055,0,0.02,0.17,0.091744258,12.24,1.007,0
ENID,Oklahoma,8028,0,0.15,0.14,0.792600897,17.82,1,1
WEATHERFORD ISD,Texas,8021,0,0.08,0.09,0.415908241,15.5,0.924,0
CAMPBELL CO PBLC SCHS,Virginia,8020,0,0.01,0.12,0.420822943,16.73,1.047,0
EAST BRUNSWICK TOWNSHIP SCHOOL DISTRICT,New Jersey,8008,0,0.03,0.15,0.155969031,11.52,0.938,0
EVANSTON CCSD 65,Illinois,7997,0,0.11,0.14,0.387020133,12.86,1.018,0
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),New York,7981,0,0.12,0.16,0.54454329,15.03,0.973,0
ABINGTON SD,Pennsylvania,7966,0,0.02,0.15,0.240271152,14.93,0.995,0
GAINESVILLE CITY,Georgia,7964,0,0.3,0.09,0.765318935,15.46,0.919,0
GEARY COUNTY SCHOOLS,Kansas,7964,0,0.08,0.15,0.601456554,12.17,0.842,0
GROSSE POINTE PUBLIC SCHOOLS,Michigan,7931,0,0.01,0.13,0.13541798,16.63,0.973,0
SPRING-FORD AREA SD,Pennsylvania,7924,0,0.02,0.19,0.15459364,14.03,0.922,0
BAY CITY SCHOOL DISTRICT,Michigan,7905,0,0.01,0.15,0.502087287,19.18,1.052,0
MIDWAY ISD,Texas,7898,0,0.03,0.08,0.304380856,16.06,1.054,0
MERIDEN SCHOOL DISTRICT,Connecticut,7888,0,0.15,0.21,0.706769777,13.78,0.988,0
ROCKFORD PUBLIC SCHOOLS,Michigan,7888,0,0,0.07,0.12918357,18.63,1.002,0
KETTERING CITY SCHOOL DISTRICT,Ohio,7875,0,0.02,0.14,0.391746032,16.99,0.935,0
NOVATO UNIFIED,California,7869,0.06,0.16,0.12,0.325073072,21.14,0.841,0
CEDAR HILL ISD,Texas,7866,0.08,0.07,0.08,0.681795067,16.33,0.979,0
SANTA MARIA JOINT UNION HIGH,California,7858,0,0.24,0.1,0.697251209,23.96,1.079,0
GRANVILLE COUNTY SCHOOLS,North Carolina,7843,0,0.05,0.14,0.601810532,16.13,1.114,0
JOPLIN SCHOOLS,Missouri,7829,0,0.02,0.17,0.629199131,14.53,1.029,0
FRANKLIN PIERCE SCHOOL DISTRICT,Washington,7820,0,0.09,0.14,0.750255754,17.67,0.959,0
CAMPBELL UNION HIGH,California,7810,0,0.08,0.12,0.188732394,22.61,1.011,0
PORTAGE TOWNSHIP SCHOOLS,Indiana,7799,0,0.02,0.17,0.540197461,18.59,0.889,0
NORTH BERGEN SCHOOL DISTRICT,New Jersey,7796,0,0.1,0.16,0.658286301,13.56,1.005,0
BLOUNT COUNTY,Alabama,7793,0,0.04,0.09,0.553317079,17.41,1.02,0
AGUA FRIA UNION HIGH SCHOOL DISTRICT,Arizona,7788,0,0.01,0.1,0.400744735,23.25,0.838,1
POLK COUNTY,Georgia,7780,0,0.07,0.14,0.831233933,15.45,0.972,0
MENTOR EXEMPTED VILLAGE,Ohio,7778,0,0.02,0.12,0.244021599,18.92,0.962,0
GARDEN CITY,Kansas,7772,0,0.45,0.12,0.714616572,14.25,0.887,0
TIFT COUNTY,Georgia,7763,0,0.07,0.11,0.948215896,14.68,1.02,0
ROSEVILLE PUBLIC SCHOOL DISTRICT,Minnesota,7761,0,0.15,0.13,0.45767298,17.55,1.007,0
CHILTON COUNTY,Alabama,7756,0,0.04,0.07,0.637055183,17.57,0.972,0
WENATCHEE SCHOOL DISTRICT,Washington,7756,0,0.24,0.11,0.546544611,17.48,1.21,0
ALTOONA AREA SD,Pennsylvania,7755,0,0,0.22,0.596002579,14.46,0.979,0
QUEEN ANNE'S COUNTY PUBLIC SCHOOLS,Maryland,7751,0,0.03,0.11,0.248871113,14.94,1.023,0
BEAVERCREEK CITY,Ohio,7751,0,0.04,0.15,0.125790221,18.52,0.928,0
WALKER COUNTY,Alabama,7723,0,0.01,0.08,0.62980707,17.96,1.007,0
SAN LUIS COASTAL UNIFIED,California,7718,0.06,0.12,0.12,0.334801762,22.54,1.069,0
LA PORTE ISD,Texas,7713,0,0.09,0.11,0.494360171,15.58,1.109,0
MANASSAS CITY PBLC SCHS,Virginia,7713,0,0.31,0.12,0.571891612,14.79,1.022,0
WEST SHORE SD,Pennsylvania,7705,0,0.02,0.18,0.317585983,14.86,0.899,0
COFFEE COUNTY,Georgia,7704,0,0.06,0.09,0.838785047,15.86,1.007,0
MORGAN COUNTY,Alabama,7683,0,0.04,0.08,0.711680631,17.21,1.198,0
PATCHOGUE-MEDFORD UNION FREE SCHOOL DISTRICT,New York,7666,0,0.13,0.15,0.469606053,14.82,1.018,0
IRVINGTON PUBLIC SCHOOLS DISTRICT,New Jersey,7651,0,0.11,0.11,0.759508561,14.5,0.989,0
SNOWLINE JOINT UNIFIED,California,7648,0,0.11,0.15,0.660957113,23.04,0.993,0
MIDLAND PUBLIC SCHOOLS,Michigan,7643,0,0.01,0.15,0.280779799,19.05,1.003,0
LANCASTER ISD,Texas,7640,0,0.07,0.08,0.864790576,17.92,0.941,0
TALLADEGA COUNTY,Alabama,7613,0,0,0.08,0.70169447,17.74,0.984,0
CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,New York,7609,0,0.29,0.13,0.772374819,15.18,1.044,0
CLARKSTON COMMUNITY SCHOOL DISTRICT,Michigan,7604,0,0.02,0.14,0.187006839,18.41,0.951,0
EDWARDSVILLE CUSD 7,Illinois,7600,0,0.01,0.11,0.170526316,18.24,0.987,0
LAKE ORION COMMUNITY SCHOOLS,Michigan,7596,0,0.04,0.11,0.192469721,18.39,1,0
WESTFIELD-WASHINGTON SCHOOLS,Indiana,7594,0,0.03,0.17,0.15038188,19.5,0.802,0
CONS HSD 230,Illinois,7586,0,0.04,0.13,0.182177696,16.02,0.947,0
CRYSTAL LAKE CCSD 47,Illinois,7586,0,0.08,0.15,0.982467704,14.12,0.926,0
CENTINELA VALLEY UNION HIGH,California,7572,0.25,0.14,0.12,0.697173798,22.46,0.987,0
JACKSON COUNTY,Georgia,7568,0,0.04,0.13,0.552285192,15.84,0.965,0
MINOT 1,North Dakota,7568,0,0.02,0.15,0.295586681,13.73,0.973,0
ORANGE COUNTY SCHOOLS,North Carolina,7557,0,0.08,0.15,0.430858806,13.62,1.059,0
SYLVANIA SCHOOLS,Ohio,7557,0,0.03,0.12,0.206828106,19.38,0.859,0
GLENDORA UNIFIED,California,7538,0,0.06,0.15,0.258556646,24.38,0.95,0
ST. BERNARD PARISH,Louisiana,7535,0,0.04,0.11,0.784605176,12.84,1.08,0
YORK 02,South Carolina,7535,0,0.02,0.08,0.322893165,14.34,1.165,0
RICHMOND COUNTY SCHOOLS,North Carolina,7530,0,0.04,0.13,0.982071713,15.65,1.026,0
GAHANNA-JEFFERSON CITY,Ohio,7522,0,0.05,0.15,0.249268811,18.16,0.969,0
HENRY CO PBLC SCHS,Virginia,7508,0,0.06,0.14,0.730953649,15.55,0.973,0
OCONEE COUNTY,Georgia,7503,0,0.03,0.11,0.191256831,16.1,0.919,0
EGG HARBOR TOWNSHIP SCHOOL DISTRICT,New Jersey,7503,0,0.02,0.14,0.471411435,12.24,0.958,0
LINN-MAR COMM SCHOOL DISTRICT,Iowa,7477,0,0.01,0.1,0.20409255,16.02,0.953,0
MURRAY COUNTY,Georgia,7471,0,0.08,0.1,0.776602864,16.94,0.945,0
SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO,Colorado,7467,0,0.37,0.11,0.841167805,19.67,0.952,1
CAMPBELL UNION,California,7465,0.92,0.31,0.11,0.415271266,22.47,1.07,0
NORTHWEST ALLEN COUNTY SCHOOLS,Indiana,7459,0,0.01,0.14,0.152433302,17.97,0.841,0
WASHINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,7436,0,0.01,0.19,0.187234043,11.19,0.96,0
SEGUIN ISD,Texas,7425,0,0.09,0.1,0.662626263,15.54,1.057,0
SPARTANBURG 07,South Carolina,7421,0,0.05,0.12,0.751650721,11.94,0.932,0
MIDDLETOWN CITY SCHOOL DISTRICT,New York,7404,0,0.13,0.19,0.732171799,13.86,0.919,0
NORTHVILLE PUBLIC SCHOOLS,Michigan,7401,0,0.06,0.08,0.037832725,18.45,0.912,0
NORRISTOWN AREA SD,Pennsylvania,7399,0,0.13,0.22,0.962157048,14.43,1.009,0
HENDRY,Florida,7398,0,0.15,0.15,0.670721817,17.16,1.005,0
GRAND FORKS 1,North Dakota,7395,0,0.04,0.15,0.354022989,11.83,1.123,0
FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,7392,0,0.07,0.18,0.469155844,10.96,0.894,0
LAFAYETTE SCHOOL CORPORATION,Indiana,7390,0,0.1,0.2,0.68985115,15.28,0.932,0
DELANO UNION ELEMENTARY,California,7387,0.25,0.48,0.1,0.805333694,23.71,0.993,0
REDMOND SD 2J,Oregon,7387,0.08,0.05,0.15,0.542574794,20.88,0.927,0
SHERMAN ISD,Texas,7380,0,0.19,0.12,0.675338753,13.61,0.87,0
SOUTH BAY UNION,California,7377,0.17,0.5,0.13,0.657855497,24.07,1.015,0
JEFFERSON COUNTY,Tennessee,7375,0,0.04,0.11,0.598479156,15.99,1.146,0
LITTLE ELM ISD,Texas,7375,0,0.17,0.08,0.42440678,16.29,0.905,0
FRANKLIN CO PBLC SCHS,Virginia,7352,0,0.02,0.16,0.496735582,13.61,0.976,0
MAIZE,Kansas,7349,0,0.02,0.12,0.204517621,20.21,0.839,0
TOWNSHIP OF UNION SCHOOL DISTRICT,New Jersey,7343,0,0.03,0.16,0.350810296,11.59,0.991,0
HILLSBOROUGH TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,7329,0,0.02,0.18,0.088552326,11.46,0.975,0
FOND DU LAC SCHOOL DISTRICT,Wisconsin,7319,0.13,0.05,0.18,0.392813226,15.61,0.921,0
PISCATAWAY TOWNSHIP SCHOOL DISTRICT,New Jersey,7317,0,0.05,0.13,0.318573186,13.08,0.952,0
WILLIS ISD,Texas,7311,0,0.14,0.08,0.585829572,17.82,0.914,0
GREAT FALLS ELEM,Montana,7306,0,0.04,0.1,0.591568574,15.32,1.022,0
FOREST HILLS LOCAL,Ohio,7298,0,0.01,0.09,0.109070978,18.73,0.918,0
